,Mean,Brightness,target
96,0.3543960427636828,0.33317793020472447,CITOPLASMA
97,0.3116323599808521,0.3105221213940455,CITOPLASMA
98,0.3315781075474709,0.28804378341974374,CITOPLASMA
99,0.3223232806765598,0.44296493747730586,CITOPLASMA
100,0.30716451252592947,0.4172524083001247,CITOPLASMA
101,0.334450295197064,0.25761257383641417,CITOPLASMA
102,0.3089197383117919,0.2877417085940207,CITOPLASMA
103,0.29056965055050266,0.29457462892470176,CITOPLASMA
104,0.31721716929950533,0.30968683396370644,CITOPLASMA
105,0.32679112813148237,0.3487325057443829,CITOPLASMA
106,0.3607786819850008,0.3621519591598459,CITOPLASMA
107,0.3556725706079464,0.3949488124661645,CITOPLASMA
108,0.3706717727780437,0.335047121785353,CITOPLASMA
109,0.35647040051061113,0.3689193892880409,CITOPLASMA
